2010-03-23 18:28:20 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [CORE/cake/libs/debugger.php, line 549]
2010-03-23 23:23:35 Notice: Notice (8): Undefined property: UsuariosController::$Curso in [APP/controllers/usuarios_controller.php, line 32]
2010-03-23 23:48:03 Notice: Notice (8): Undefined index:  username in [APP/controllers/login_controller.php, line 26]
2010-03-23 23:48:37 Notice: Notice (8): Undefined index:  Curso in [APP/controllers/login_controller.php, line 34]
2010-03-23 23:48:37 Notice: Notice (8): Undefined index:  Curso in [APP/controllers/login_controller.php, line 35]
2010-03-25 19:09:11 Notice: Notice (8): Undefined index:  administrador in [APP/views/layouts/default.ctp, line 66]
2010-03-25 19:09:12 Notice: Notice (8): Undefined index:  administrador in [APP/views/layouts/default.ctp, line 66]
2010-03-25 19:09:12 Notice: Notice (8): Undefined index:  administrador in [APP/views/layouts/default.ctp, line 66]
2010-03-25 19:40:52 Notice: Notice (8): Undefined variable: cidades in [APP/views/funcoes/index.ctp, line 18]
2010-03-25 19:41:14 Notice: Notice (8): Undefined variable: cidades in [APP/views/funcoes/index.ctp, line 18]
2010-03-25 19:42:38 Notice: Notice (8): Undefined variable: cidades in [APP/views/funcoes/index.ctp, line 18]
2010-03-25 19:44:27 Notice: Notice (8): Undefined variable: cidades in [APP/views/funcoes/index.ctp, line 18]
2010-03-25 19:46:57 Notice: Notice (8): Undefined index:  uf in [APP/views/funcoes/index.ctp, line 32]
2010-03-25 23:59:33 Notice: Notice (8): Undefined variable: estados in [APP/views/membros/add.ctp, line 11]
2010-03-25 23:59:48 Notice: Notice (8): Undefined property: Cidade::$Cidade in [APP/models/cidade.php, line 19]
2010-03-26 00:00:05 Notice: Notice (8): Undefined variable: cidade in [APP/models/cidade.php, line 21]
2010-03-26 00:02:29 Notice: Notice (8): Undefined variable: cidade in [APP/models/cidade.php, line 21]
2010-03-26 00:02:51 Notice: Notice (8): Undefined variable: cidade in [APP/models/cidade.php, line 21]
2010-03-26 00:03:03 Notice: Notice (8): Undefined variable: cidade in [APP/models/cidade.php, line 22]
2010-03-26 00:16:35 Notice: Notice (8): Undefined variable: estados in [APP/views/membros/add.ctp, line 11]
2010-03-26 00:27:56 Notice: Notice (8): Undefined variable: data in [APP/views/membros/add.ctp, line 16]
2010-03-26 02:47:43 Notice: Notice (8): Undefined variable: cidades in [APP/views/membros/add.ctp, line 12]
2010-03-26 19:26:29 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-26 19:26:51 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-26 19:27:44 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-26 19:28:39 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-26 19:28:50 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-26 19:33:02 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-26 19:46:43 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-26 19:46:57 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-26 19:47:08 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-26 19:47:25 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-26 19:47:42 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-26 19:49:24 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-26 19:49:35 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
